url,created,title
https://www.washingtonpost.com/health/2020/03/23/coronavirus-isnt-alive-thats-why-its-so-hard-kill/,2020-03-23 22:00:21,The science of why coronavirus is so hard to stop - The Washington Post
https://digg.com/2020/social-distancing-coronavirus-animation,2020-03-23 21:59:05,A Brilliant Illustration Of How Social Distancing Cuts Down The Spread Of Coronavirus
https://www.gudethinking.com/?lightbox=dataItem-k800dsqm,2020-03-23 21:59:00,Break the chain of infection - infographic
https://mutualaidmamas.com/,2020-03-23 21:43:20,Welcome to Mutual Aid Medford and Somerville (MAMAS) network | Mutual Aid Medford and Somerville Network (MAMAS)
https://eand.co/the-upsides-of-a-global-pandemic-4dbb00be4a03,2020-03-23 21:22:24,302 Found
https://kottke.org/20/03/some-people,2020-03-23 21:21:06,Some People
https://www.thestar.com/business/2020/03/23/construction-industry-braces-for-devastating-shutdown-as-ford-calls-for-closure-of-non-essential-workplaces.html,2020-03-23 21:19:37,Construction industry braces for ‘devastating’ shutdown as Ford calls for closure of non-essential workplaces | The Star
https://www.thestar.com/news/canada/2020/03/23/health-experts-warn-of-face-mask-shortage-1472-cases-of-confirmed-and-presumptive-covid-19-in-canada.html,2020-03-23 21:18:09,Toronto declares state of emergency; Ford shuts down all non-essential services starting Wednesday as Ontario reports 78 new cases; Three more deaths in B.C. | The Star
https://covid19.nguy.dev/,2020-03-23 21:15:00,COVID-19 Tracker and Analysis Dashboard
https://www.cbc.ca/news/canada/toronto/toronto-coronavirus-state-of-emergency-1.5506829,2020-03-23 21:11:43,Toronto's mayor declares state of emergency amid COVID-19 pandemic | CBC News
https://www.cbc.ca/news/canada/toronto/covid-19-coronavirus-ontario-monday-1.5506445,2020-03-23 21:09:15,"Ontario closes all non-essential businesses, as the province confirms 78 new COVID-19 cases | CBC News"
https://www.milenio.com/opinion/carlos-puig/duda-razonable/dia-1-escuchando-a-lopez-gatell,2020-03-23 21:08:43,Día 1: Escuchando a López-Gatell
https://www.cbc.ca/news/business/cruise-ship-holland-america-covid-19-canadians-1.5506674,2020-03-23 21:06:36,"'Get us the hell off': Nearly 250 Canadians aboard ship with passengers, crew exhibiting flu-like symptoms | CBC News"
https://www.cbc.ca/news/politics/three-flight-peru-champagne-1.5506506,2020-03-23 21:05:22,More than a million Canadian citizens and permanent residents returned home last week | CBC News
https://www.cbc.ca/news/politics/trudeau-covid19-premiers-address-1.5506473,2020-03-23 21:04:29,"Go home and stay home, Trudeau tells Canadians as government warns of COVID-19 enforcement measures | CBC News"
https://covidactnow.org/,2020-03-23 21:03:35,Coronavirus Act Now
https://www.cbc.ca/news/canada/new-brunswick/covid-19-coronavirus-outbreak-premier-blaine-higgs-1.5506516,2020-03-23 21:03:24,N.B. COVID-19 roundup: Higgs ponders isolation for almost everyone entering province | CBC News
https://www.cbc.ca/news/canada/coronavirus-covid19-march23-canada-world-1.5506430,2020-03-23 21:01:47,Coronavirus: What's happening in Canada and around the world Monday | CBC News
https://www.milenio.com/opinion/hector-aguilar-camin/dia-con-dia/las-dos-pandemias-de-mexico,2020-03-23 20:57:27,Las dos pandemias de México
https://www.theguardian.com/world/2020/mar/23/uk-lockdown-what-are-new-coronavirus-restrictions,2020-03-23 20:57:19,UK lockdown: what are the new coronavirus restrictions? | World news | The Guardian
https://twitter.com/i/web/status/1242145698604335104,2020-03-23 17:46:27,(429) https://twitter.com/i/web/status/1242145698604335104
http://www.chinaxiv.org/abs/202002.00033,2020-03-23 17:44:28,ChinaXiv.org 中国科学院科技论文预发布平台
http://virological.org/t/the-proximal-origin-of-sars-cov-2/398,2020-03-23 17:44:19,The Proximal Origin of SARS-CoV-2 - Novel 2019 coronavirus / nCoV-2019 Evolutionary History - Virological
https://www.knoxcounty.org/health/coronavirus/safer-at-home.php?fbclid=IwAR31lxsswdz03hYtc6DQ7CPJJ3mcnUjD3QbztS-ToL6CnJmNYOxw24qtG1s,2020-03-23 17:36:15,Coronavirus - Health Department - Knox County Tennessee Government
https://www.hillwebcreations.com/google-business-profile-updates-healthcare-sites/,2020-03-23 17:34:36,Google Business Profile Updates for Managing Healthcare Sites
https://twitter.com/i/web/status/1242142717800398848,2020-03-23 17:34:36,Twitter
http://musingsaboutlibrarianship.blogspot.com/2020/03/libraries-and-research-in-covid-19.html,2020-03-23 17:34:19,Libraries and research in a COVID-19 world - resource list and some thoughts | Musings about librarianship
http://www.startribune.com/gov-walz-activates-national-guard-to-transport-healthcare-protective-equipment/569008602/,2020-03-23 17:30:25,Backlog of COVID-19 tests is eliminated with Mayo's help - StarTribune.com
https://kottke.org/20/03/covid-19-and-food-safety,2020-03-23 17:28:54,COVID-19 and Food Safety
https://twitter.com/ltthompso/status/1242071291626164224,2020-03-23 17:26:06,@ltthompso: CNN is gonna have to file a FARA registration when this is over.
https://www.seriouseats.com/2020/03/food-safety-and-coronavirus-a-comprehensive-guide.html,2020-03-23 17:25:52,Food Safety and Coronavirus: A Comprehensive Guide | Serious Eats
https://www.worldometers.info/coronavirus/,2020-03-23 17:20:15,"Coronavirus Update (Live): 366,866 Cases and 16,098 Deaths from COVID-19 Virus Outbreak - Worldometer"
https://www.statnews.com/2020/03/17/a-fiasco-in-the-making-as-the-coronavirus-pandemic-takes-hold-we-are-making-decisions-without-reliable-data/,2020-03-23 17:19:56,"In the coronavirus pandemic, we're making decisions without reliable data - Mar 2020"
https://www.cnn.com/2020/03/23/health/coronavirus-symptoms-list-what-to-do-wellness/index.html,2020-03-23 17:15:05,Coronavirus symptoms: A list and when to seek help - CNN Mar 2020
https://twitter.com/i/web/status/1242132779514593281,2020-03-23 17:07:33,(429) https://twitter.com/i/web/status/1242132779514593281
https://tribunemag.co.uk/2020/03/denmarks-answer-to-the-coronavirus-recession?fbclid=IwAR3GQIyRAqo_JXXtvUok6CV1YccHw6wLF8DZBY68LJW4GOpSHYKuQVS2n6Q,2020-03-23 17:04:46,Denmark’s Answer to the Coronavirus Recession
https://www.boston.com/news/health/2020/03/23/coronavirus-sense-of-smell,2020-03-23 17:03:38,Lost sense of smell may be peculiar clue to coronavirus infection | Boston.com
https://www.calculatedriskblog.com/,2020-03-23 17:02:31,Calculated Risk
https://www.theguardian.com/environment/bike-blog/2020/mar/20/why-not-encourage-cycling-during-the-coronavirus-lockdown?CMP=Share_AndroidApp_News_Feed,2020-03-23 17:02:05,Why not encourage cycling during the coronavirus lockdown? | Environment | The Guardian
https://www.policytracker.com/covid-19-hits-the-spectrum-world/,2020-03-23 17:01:58,"COVID-19 hits the spectrum world - PolicyTracker, Mar 2020"
https://www.youtube.com/watch?v=Kas0tIxDvrg,2020-03-23 14:41:11,(6) Exponential growth and epidemics - YouTube
https://www.iheart.com/podcast/302-katie-couric-28008908/episode/coronavirus-update-how-can-we-cope-59573188/,2020-03-23 14:35:59,Listen to the Next Question with Katie Couric Episode - Coronavirus update: How can we cope with COVID-19 anxiety? on iHeartRadio | iHeartRadio
https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html,2020-03-23 14:32:13,Coronavirus in San Diego County
